Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
48.02400, 0.62130, 23.98000, 1.21190, 29.83700, 29.06200, 0.97403
48.00800, 0.81770, 23.95800, 1.60710, 39.25400, 38.50200, 0.98084
47.99200, 1.01280, 23.93500, 1.99970, 48.60400, 47.86200, 0.98473
47.97600, 1.20700, 23.91300, 2.39060, 57.90800, 57.16700, 0.98720
47.96600, 1.33820, 23.89700, 2.65450, 64.19000, 63.43000, 0.98816
47.95300, 1.49660, 23.87900, 2.97340, 71.77000, 71.00000, 0.98927
47.93500, 1.70380, 23.85500, 3.38990, 81.67000, 80.87000, 0.99020
47.92500, 1.83000, 23.84100, 3.64380, 87.70000, 86.87000, 0.99054
47.91200, 1.97720, 23.82400, 3.94000, 94.73000, 93.87000, 0.99092
47.89800, 2.14820, 23.80500, 4.28410, 102.90000, 101.98000, 0.99106
47.88200, 2.35480, 23.78200, 4.69930, 112.75000, 111.76000, 0.99122
47.86100, 2.60280, 23.75600, 5.19770, 124.57000, 123.48000, 0.99125
47.83500, 2.91570, 23.72700, 5.82590, 139.47000, 138.23000, 0.99111
