Iout, Vin, Vout, Vcn
0.20 49.5418 24.6749 0.4981 
0.40 49.4786 24.5718 0.4966 
0.60 49.4458 24.5056 0.4956 
0.80 49.4160 24.4675 0.4951 
1.00 49.5150 24.5044 0.4949 
1.20 49.5102 24.5008 0.4949 
1.40 49.5037 24.5575 0.4961 
1.60 49.4995 24.5897 0.4968 
1.80 49.4935 24.6338 0.4977 
2.00 49.4882 24.6785 0.4987 
2.20 49.4840 24.7232 0.4996 
2.40 49.4786 24.7656 0.5005 
2.60 49.4733 24.8037 0.5014 
2.80 49.4685 24.8287 0.5019 
3.00 49.4637 24.8544 0.5025 
3.20 49.4584 24.8800 0.5030 
3.40 49.4530 24.9009 0.5035 
3.60 49.4476 24.9206 0.5040 
3.80 49.4429 24.9390 0.5044 
4.00 49.4375 24.9575 0.5048 
