Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.09000, 0.03609, 12.10200, inf, 3.17180, inf, 1.00000
90.09000, 0.04005, 12.09300, 0.26571, 3.51740, 3.21310, 0.91349
90.09000, 0.04498, 12.08000, 0.30107, 3.94740, 3.63710, 0.92139
90.08000, 0.05078, 12.06700, 0.34266, 4.45290, 4.13480, 0.92856
90.08000, 0.05880, 12.04900, 0.40035, 5.15240, 4.82380, 0.93622
90.07000, 0.06981, 12.02600, 0.47978, 6.11300, 5.76980, 0.94386
90.06000, 0.08597, 11.99300, 0.59669, 7.52100, 7.15600, 0.95147
90.05000, 0.11279, 11.94100, 0.79110, 9.85800, 9.44600, 0.95821
90.03000, 0.13919, 11.89300, 0.98320, 12.15800, 11.69300, 0.96175
90.02000, 0.16538, 11.85300, 1.17370, 14.43700, 13.91200, 0.96364
89.99000, 0.20417, 11.79900, 1.45650, 17.81200, 17.18600, 0.96486
89.98000, 0.23181, 11.76500, 1.65800, 20.21500, 19.50600, 0.96493
90.09000, 0.26922, 11.74100, 1.92610, 23.44900, 22.61300, 0.96435
90.08000, 0.31936, 11.68800, 2.29100, 27.80700, 26.77600, 0.96292
90.07000, 0.35203, 11.65300, 2.52890, 30.64600, 29.47000, 0.96163
90.07000, 0.39301, 11.61200, 2.82750, 34.20600, 32.83200, 0.95983
90.07000, 0.44474, 11.56100, 3.20440, 38.69900, 37.04600, 0.95729
90.06000, 0.51212, 11.49700, 3.69540, 44.55200, 42.48700, 0.95365
