Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
48.02400, 0.62119, 23.98100, 1.21160, 29.83200, 29.05600, 0.97399
48.00700, 0.81760, 23.95800, 1.60690, 39.25000, 38.49800, 0.98084
47.99100, 1.01270, 23.93500, 1.99940, 48.59800, 47.85500, 0.98471
47.97500, 1.20700, 23.91300, 2.39050, 57.90700, 57.16400, 0.98717
47.96400, 1.33820, 23.89700, 2.65450, 64.19000, 63.44000, 0.98832
47.95100, 1.49670, 23.87900, 2.97340, 71.77000, 71.00000, 0.98927
47.93300, 1.70390, 23.85600, 3.39010, 81.67000, 80.87000, 0.99020
47.92300, 1.83010, 23.84100, 3.64400, 87.70000, 86.88000, 0.99065
47.91100, 1.97750, 23.82400, 3.94040, 94.74000, 93.88000, 0.99092
47.89700, 2.14860, 23.80500, 4.28460, 102.91000, 101.99000, 0.99106
47.88000, 2.35510, 23.78200, 4.70000, 112.76000, 111.77000, 0.99122
