Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.12000, 0.03925, 12.83200, 0.25678, 3.53610, 3.29500, 0.93182
90.11000, 0.04306, 12.75000, 0.28535, 3.87930, 3.63830, 0.93788
90.11000, 0.04772, 12.65300, 0.32040, 4.29930, 4.05420, 0.94299
90.11000, 0.05319, 12.54700, 0.36138, 4.79230, 4.53430, 0.94616
90.10000, 0.06088, 12.43400, 0.41814, 5.48460, 5.19920, 0.94796
90.10000, 0.07158, 12.31600, 0.49644, 6.44900, 6.11400, 0.94805
90.09000, 0.08741, 12.18800, 0.61156, 7.87400, 7.45380, 0.94663
90.07000, 0.11387, 12.04800, 0.80380, 10.25500, 9.68400, 0.94432
90.06000, 0.14010, 11.96800, 0.99530, 12.61500, 11.91200, 0.94427
90.04000, 0.16605, 11.91700, 1.18680, 14.95000, 14.14300, 0.94602
90.02000, 0.20440, 11.86100, 1.47200, 18.39800, 17.45800, 0.94891
90.00000, 0.23171, 11.82900, 1.67610, 20.85200, 19.82600, 0.95080
90.12000, 0.26808, 11.81200, 1.94860, 24.15600, 23.01700, 0.95285
90.12000, 0.31751, 11.77300, 2.32090, 28.60800, 27.32400, 0.95512
90.11000, 0.34982, 11.74800, 2.56490, 31.51900, 30.13300, 0.95603
90.11000, 0.39042, 11.71900, 2.87170, 35.17600, 33.65300, 0.95670
90.10000, 0.44181, 11.68400, 3.26040, 39.80300, 38.09400, 0.95706
90.10000, 0.50908, 11.64000, 3.76960, 45.86100, 43.87800, 0.95676
90.10000, 0.55143, 11.61300, 4.09010, 49.67400, 47.50000, 0.95623
90.09000, 0.60181, 11.58100, 4.47180, 54.20900, 51.79000, 0.95538
