Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
108.13000, 0.06803, 17.96900, 0.36745, 7.34900, 6.60290, 0.89848
108.12000, 0.07447, 17.96400, 0.40607, 8.04400, 7.29460, 0.90684
108.12000, 0.08328, 17.95800, 0.45888, 8.99400, 8.24040, 0.91621
108.11000, 0.09368, 17.95100, 0.52125, 10.11700, 9.35660, 0.92484
108.10000, 0.10809, 17.94000, 0.60758, 11.67200, 10.90000, 0.93386
108.09000, 0.12798, 17.92500, 0.72680, 13.81800, 13.02800, 0.94283
108.07000, 0.15732, 17.90400, 0.90260, 16.98200, 16.16000, 0.95160
108.04000, 0.20629, 17.86700, 1.19620, 22.26000, 21.37200, 0.96011
108.02000, 0.25480, 17.83100, 1.48680, 27.48800, 26.51200, 0.96449
108.14000, 0.30353, 17.82100, 1.77830, 32.78000, 31.69000, 0.96675
108.14000, 0.37535, 17.77400, 2.20870, 40.53300, 39.25600, 0.96849
108.13000, 0.42656, 17.74000, 2.51570, 46.06200, 44.62700, 0.96885
108.13000, 0.49404, 17.69400, 2.92010, 53.34600, 51.66700, 0.96853
108.12000, 0.58674, 17.63200, 3.47590, 63.35000, 61.28600, 0.96742
108.11000, 0.64731, 17.59100, 3.83900, 69.88600, 67.53300, 0.96633
108.11000, 0.72330, 17.54100, 4.29500, 78.09000, 75.33700, 0.96475
