Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
108.13000, 0.06337, 17.72600, 0.36210, 6.84460, 6.41860, 0.93776
108.13000, 0.06961, 17.72000, 0.40013, 7.52000, 7.09030, 0.94286
108.12000, 0.07815, 17.71100, 0.45220, 8.44300, 8.00890, 0.94858
108.12000, 0.08824, 17.70000, 0.51366, 9.53300, 9.09180, 0.95372
108.11000, 0.10220, 17.68500, 0.59868, 11.04100, 10.58800, 0.95897
108.10000, 0.12144, 17.66500, 0.71600, 13.12000, 12.64700, 0.96395
108.08000, 0.14978, 17.63600, 0.88880, 16.18000, 15.67600, 0.96885
108.05000, 0.19700, 17.59300, 1.17740, 21.27600, 20.71500, 0.97363
108.02000, 0.24361, 17.54000, 1.46220, 26.30400, 25.64700, 0.97502
108.14000, 0.29019, 17.50700, 1.74670, 31.36700, 30.57900, 0.97488
108.14000, 0.35832, 17.42700, 2.16550, 38.73000, 37.73900, 0.97441
108.14000, 0.40661, 17.37200, 2.46330, 43.94900, 42.79300, 0.97370
108.13000, 0.46997, 17.30100, 2.85480, 50.79500, 49.39000, 0.97234
108.12000, 0.55712, 17.21500, 3.39350, 60.21000, 58.41900, 0.97025
108.12000, 0.61402, 17.16300, 3.74520, 66.35700, 64.27900, 0.96868
108.11000, 0.68540, 17.10100, 4.18690, 74.07000, 71.59800, 0.96663
