Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.06000, 0.03019, nan, nan, 1.49660, nan, nan
50.05800, 0.03313, 8.32000, 0.17561, 1.64210, 1.46110, 0.88978
50.05600, 0.03717, 8.31700, 0.19953, 1.84140, 1.65950, 0.90122
50.05300, 0.04192, 8.31400, 0.22769, 2.07610, 1.89300, 0.91181
50.04900, 0.04926, 8.31000, 0.27127, 2.43820, 2.25420, 0.92453
50.04400, 0.05859, 8.30300, 0.32650, 2.89870, 2.71110, 0.93528
50.03600, 0.07235, 8.29400, 0.40797, 3.57730, 3.38370, 0.94588
50.02200, 0.09534, 8.27800, 0.54413, 4.71080, 4.50430, 0.95616
50.00900, 0.11813, 8.26200, 0.67900, 5.83380, 5.61000, 0.96164
49.99700, 0.14075, 8.24600, 0.81300, 6.94800, 6.70500, 0.96503
49.97700, 0.17441, 8.22300, 1.01230, 8.60500, 8.32300, 0.96723
49.96400, 0.19842, 8.20600, 1.15440, 9.78600, 9.47300, 0.96802
49.94600, 0.23003, 8.18300, 1.34140, 11.33900, 10.97700, 0.96807
50.05700, 0.27442, 8.17500, 1.60290, 13.54900, 13.10300, 0.96708
50.05500, 0.30294, 8.15600, 1.77170, 14.95600, 14.45000, 0.96617
50.05300, 0.33876, 8.13300, 1.98360, 16.72200, 16.13200, 0.96472
