Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.06100, 0.02786, 8.15300, inf, 1.39270, inf, 1.00000
50.06000, 0.03065, 8.15000, 0.17172, 1.53250, 1.39950, 0.91321
50.05800, 0.03447, 8.14500, 0.19508, 1.72320, 1.58900, 0.92212
50.05500, 0.03896, 8.14000, 0.22262, 1.94760, 1.81210, 0.93043
50.05100, 0.04589, 8.13200, 0.26510, 2.29340, 2.15580, 0.94000
50.04600, 0.05468, 8.12000, 0.31895, 2.73240, 2.59000, 0.94788
50.03800, 0.06762, 8.10500, 0.39831, 3.37830, 3.22830, 0.95560
50.02600, 0.08918, 8.08000, 0.53086, 4.45410, 4.28960, 0.96307
50.01400, 0.11039, 8.05300, 0.66160, 5.51240, 5.32800, 0.96655
50.00100, 0.13126, 8.02000, 0.79050, 6.55300, 6.33900, 0.96734
49.98400, 0.16199, 7.97100, 0.98120, 8.08300, 7.82100, 0.96759
49.97100, 0.18369, 7.93700, 1.11650, 9.16400, 8.86200, 0.96704
49.95500, 0.21190, 7.89000, 1.29340, 10.56800, 10.20500, 0.96565
49.93300, 0.25056, 7.83400, 1.53650, 12.49000, 12.03700, 0.96373
50.05700, 0.27680, 7.82700, 1.70070, 13.83000, 13.31200, 0.96255
50.05400, 0.30881, 7.79600, 1.90200, 15.42700, 14.82800, 0.96117
