Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
130.13000, 0.04401, 14.65500, inf, 5.69950, inf, 1.00000
130.13000, 0.04780, 14.64200, 0.32458, 6.19080, 4.75260, 0.76769
130.13000, 0.05251, 14.62500, 0.36737, 6.80330, 5.37280, 0.78973
130.12000, 0.05805, 14.60500, 0.41759, 7.52210, 6.09900, 0.81081
130.12000, 0.06568, 14.57700, 0.48723, 8.51300, 7.10240, 0.83430
130.11000, 0.07611, 14.53600, 0.58278, 9.86600, 8.47100, 0.85861
130.10000, 0.09128, 14.47200, 0.72270, 11.83200, 10.45900, 0.88396
130.09000, 0.11583, 14.34600, 0.95310, 15.01500, 13.67300, 0.91062
130.07000, 0.13873, 14.18300, 1.17490, 17.98200, 16.66400, 0.92670
130.06000, 0.15902, 13.95100, 1.38370, 20.61100, 19.30300, 0.93654
130.05000, 0.17805, 13.27200, 1.63970, 23.07600, 21.76200, 0.94306
130.05000, 0.17933, 12.44600, 1.75470, 23.24200, 21.83800, 0.93959
130.04000, 0.19418, 11.95200, 1.96160, 25.16800, 23.44600, 0.93158
130.02000, 0.22466, 11.71800, 2.29870, 29.11400, 26.93700, 0.92522
130.01000, 0.24612, 11.65700, 2.53140, 31.89200, 29.50900, 0.92528
130.13000, 0.27385, 11.61400, 2.83010, 35.48800, 32.86800, 0.92617
130.13000, 0.30855, 11.57200, 3.20940, 39.98100, 37.14100, 0.92897
130.12000, 0.35379, 11.52600, 3.70620, 45.83900, 42.71600, 0.93187
