Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.05800, 0.00838, 4.25300, 0.07806, 0.41630, 0.33200, 0.79750
50.05700, 0.00916, 4.24800, 0.08693, 0.45500, 0.36930, 0.81165
50.05700, 0.01022, 4.24100, 0.09900, 0.50740, 0.41980, 0.82736
50.05600, 0.01146, 4.23300, 0.11322, 0.56920, 0.47920, 0.84188
50.05500, 0.01316, 4.22300, 0.13267, 0.65340, 0.56020, 0.85736
50.05400, 0.01549, 4.20900, 0.15937, 0.76880, 0.67080, 0.87253
50.05200, 0.01885, 4.19200, 0.19817, 0.93590, 0.83060, 0.88749
50.04800, 0.02511, 4.16200, 0.27049, 1.24620, 1.12590, 0.90347
50.04000, 0.03651, 4.11800, 0.40260, 1.80960, 1.65790, 0.91617
50.03500, 0.04482, 4.09100, 0.49984, 2.22130, 2.04490, 0.92059
50.03200, 0.05072, 4.07500, 0.56922, 2.51330, 2.31960, 0.92293
50.02700, 0.05844, 4.05800, 0.66070, 2.89570, 2.68100, 0.92586
50.02100, 0.06901, 4.03700, 0.78650, 3.41890, 3.17500, 0.92866
