Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.05700, 0.00825, 4.23600, 0.07360, 0.40954, 0.31170, 0.76110
50.05700, 0.00901, 4.23400, 0.08247, 0.44718, 0.34910, 0.78067
50.05600, 0.01005, 4.23100, 0.09465, 0.49909, 0.40040, 0.80226
50.05600, 0.01128, 4.22700, 0.10891, 0.55978, 0.46040, 0.82247
50.05400, 0.01297, 4.22200, 0.12860, 0.64356, 0.54290, 0.84359
50.05300, 0.01527, 4.21500, 0.15549, 0.75790, 0.65540, 0.86476
50.05200, 0.01864, 4.20500, 0.19481, 0.92520, 0.81920, 0.88543
50.04800, 0.02418, 4.18900, 0.25938, 1.19970, 1.08640, 0.90556
50.04100, 0.03638, 4.15400, 0.40221, 1.80270, 1.67090, 0.92689
50.03600, 0.04473, 4.13400, 0.50125, 2.21630, 2.07220, 0.93498
50.03200, 0.05067, 4.12200, 0.57191, 2.51010, 2.35750, 0.93921
50.02700, 0.05847, 4.10700, 0.66490, 2.89620, 2.73100, 0.94296
50.02000, 0.06916, 4.08900, 0.79270, 3.42540, 3.24100, 0.94617
50.01100, 0.08493, 4.06600, 0.98150, 4.20510, 3.99100, 0.94909
