Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.05800, 0.00837, 4.23600, 0.07358, 0.41265, 0.31160, 0.75512
50.05800, 0.00914, 4.23400, 0.08245, 0.45039, 0.34900, 0.77488
50.05700, 0.01020, 4.23100, 0.09460, 0.50198, 0.40020, 0.79724
50.05600, 0.01143, 4.22700, 0.10883, 0.56254, 0.46000, 0.81772
50.05500, 0.01314, 4.22200, 0.12849, 0.64610, 0.54240, 0.83950
50.05400, 0.01548, 4.21500, 0.15536, 0.76050, 0.65480, 0.86101
50.05200, 0.01889, 4.20500, 0.19465, 0.92770, 0.81850, 0.88229
50.04900, 0.02450, 4.18900, 0.25924, 1.20190, 1.08590, 0.90349
50.04500, 0.03114, 4.17000, 0.33528, 1.52320, 1.39830, 0.91800
50.04100, 0.03691, 4.15500, 0.40200, 1.80460, 1.67020, 0.92552
50.03600, 0.04539, 4.13400, 0.50096, 2.21820, 2.07090, 0.93359
50.03200, 0.05143, 4.12100, 0.57162, 2.51200, 2.35580, 0.93782
50.02800, 0.05935, 4.10600, 0.66450, 2.89790, 2.72800, 0.94137
50.02100, 0.07019, 4.08800, 0.79210, 3.42640, 3.23800, 0.94502
50.01200, 0.08618, 4.06400, 0.98060, 4.20530, 3.98600, 0.94785
