Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
90.09000, 0.03562, nan, nan, 3.16150, nan, nan
90.09000, 0.03953, 12.09400, 0.26556, 3.50690, 3.21160, 0.91579
90.08000, 0.04441, 12.08300, 0.30096, 3.93730, 3.63630, 0.92355
90.08000, 0.05013, 12.06900, 0.34261, 4.44290, 4.13510, 0.93072
90.08000, 0.05805, 12.05100, 0.40032, 5.14270, 4.82440, 0.93811
90.07000, 0.06893, 12.02800, 0.47980, 6.10300, 5.77110, 0.94562
90.06000, 0.08489, 11.99600, 0.59671, 7.51200, 7.15810, 0.95289
90.04000, 0.11138, 11.94400, 0.79120, 9.84900, 9.45000, 0.95949
90.01000, 0.16335, 11.85700, 1.17430, 14.43300, 13.92300, 0.96466
89.99000, 0.20169, 11.80500, 1.45730, 17.81100, 17.20200, 0.96581
89.98000, 0.22898, 11.77100, 1.65890, 20.21500, 19.52700, 0.96597
90.08000, 0.26568, 11.74700, 1.92730, 23.45000, 22.64000, 0.96546
