Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.05700, 0.00812, 4.23700, 0.07300, 0.40307, 0.30920, 0.76711
50.05700, 0.00888, 4.23400, 0.08187, 0.44093, 0.34660, 0.78607
50.05700, 0.00992, 4.23100, 0.09398, 0.49242, 0.39760, 0.80744
50.05600, 0.01114, 4.22700, 0.10826, 0.55322, 0.45770, 0.82734
50.05500, 0.01283, 4.22200, 0.12794, 0.63703, 0.54020, 0.84800
50.05300, 0.01513, 4.21500, 0.15485, 0.75140, 0.65270, 0.86865
50.05100, 0.01850, 4.20500, 0.19411, 0.91850, 0.81620, 0.88862
50.04800, 0.02403, 4.18800, 0.25869, 1.19330, 1.08340, 0.90790
50.04000, 0.03625, 4.15200, 0.40128, 1.79770, 1.66600, 0.92674
50.03500, 0.04466, 4.12900, 0.49993, 2.21440, 2.06400, 0.93208
50.03200, 0.05062, 4.11400, 0.57010, 2.50980, 2.34560, 0.93458
50.02700, 0.05846, 4.09600, 0.66250, 2.89760, 2.71300, 0.93629
50.02100, 0.06917, 4.07400, 0.78910, 3.42810, 3.21500, 0.93784
