Vin, Iin, Vout, Iout, Pin, Pout, Efficiency
50.05800, 0.00837, 4.25300, 0.07802, 0.41560, 0.33180, 0.79836
50.05800, 0.00915, 4.24800, 0.08687, 0.45420, 0.36900, 0.81242
50.05700, 0.01021, 4.24100, 0.09896, 0.50700, 0.41970, 0.82781
50.05600, 0.01144, 4.23300, 0.11307, 0.56830, 0.47860, 0.84216
50.05500, 0.01315, 4.22300, 0.13256, 0.65280, 0.55980, 0.85754
50.05400, 0.01547, 4.20900, 0.15922, 0.76800, 0.67020, 0.87266
50.05100, 0.01884, 4.19200, 0.19807, 0.93520, 0.83020, 0.88772
50.04800, 0.02510, 4.16300, 0.27053, 1.24590, 1.12610, 0.90384
50.04100, 0.03650, 4.11800, 0.40264, 1.80940, 1.65810, 0.91638
50.03600, 0.04483, 4.09100, 0.49999, 2.22190, 2.04550, 0.92061
50.03200, 0.05072, 4.07500, 0.56935, 2.51380, 2.32020, 0.92299
50.02800, 0.05845, 4.05800, 0.66080, 2.89670, 2.68100, 0.92554
50.02100, 0.06903, 4.03700, 0.78670, 3.42020, 3.17600, 0.92860
